	DM_GLUCAN	DM_MANNAN	DM_CHITIN	DM_GLYCOGEN	DM_TREHALSE	DM_ALA	DM_ARG	DM_ASN	DM_ASP	DM_CYS	DM_GLN	DM_GLU	DM_GLY	DM_HIS	DM_ILE	DM_LEU	DM_LYS	DM_MET	DM_PHE	DM_PRO	DM_SER	DM_THR	DM_TRP	DM_TYR	DM_VAL	DM_PROTEIN	DM_ATP	DM_GTP	DM_CTP	DM_UTP	DM_RNA	DM_DATP	DM_DTTP	DM_DCTP	DM_DGTP	DM_DNA	DM_ERGST	DM_ZYMST	DM_STEROL	DM_PA_SC_MONOUNSAT_1G	DM_PC_MONOUNSAT_1G	DM_PE_MONOUNSAT_1G	DM_PG_MONOUNSAT_1G	DM_PS_MONOUNSAT_1G	DM_PTD1INO_MONOUNSAT_1G	DM_CLPN_MONOUNSAT_1G	DM_PLIPID	BIOMASS	ATPM
cut	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.5714	10.9016	11.0833	25.8993	8.5063	7.5	7.0459	6.6819	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6836	1.0307	1.0978	0.4094	0.6739	0.6556	0.6823	0.7011	0.724	0.7544	0.6766	0.685	1.0662	320.0
hva	1.4848	1.4848	1.2774	1.6514	1.6024	18.4615	7.4576	13.4694	16.5	5.7642	10.0	10.0	12.8155	7.4053	6.6667	5.0	6.6667	6.4312	5.4545	9.4286	19.3548	12.2222	4.0533	5.7143	6.6667	0.9587	4.5635	4.5478	5.28	5.6897	1.715	4.3963	4.5478	5.0575	4.3817	1.4853	0.9522	1.0138	0.3782	0.6384	0.6124	0.6416	0.6597	0.6809	0.7812	0.6355	0.6523	0.9275	220.0
spa	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.5	7.2948	7.0745	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6758	0.9909	1.0513	0.3935	0.6498	0.6337	0.6572	0.6781	0.6974	0.7294	0.653	0.661	1.0656	320.0
ppa	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.5714	10.9016	11.0833	25.8993	7.8689	7.5	7.2607	6.6819	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0718	4.9485	5.0163	5.8359	6.1736	1.8555	4.7525	4.9516	5.5652	4.815	1.616	1.0307	1.0978	0.4094	0.6739	0.6556	0.6823	0.7011	0.724	0.7544	0.6766	0.685	1.0641	320.0
wan	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.5714	10.9016	11.0833	25.8993	8.5063	7.5	7.0459	6.6819	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6727	1.0307	1.0978	0.4094	0.6739	0.6556	0.6823	0.7011	0.724	0.7544	0.6766	0.685	1.0662	320.0
sai	1.5245	1.5245	1.3747	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.0	10.0	10.0	20.0	8.5063	7.5	6.6667	6.3158	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6925	1.0374	1.1049	0.412	0.6871	0.6661	0.6935	0.7123	0.7359	0.7657	0.6875	0.6958	1.0682	320.0
tre	1.5245	1.5245	1.3747	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.5	7.5404	7.0745	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6927	1.049	1.1174	0.4166	0.6852	0.6656	0.6927	0.7122	0.735	0.7644	0.6868	0.6953	1.0683	320.0
kcp	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.0	10.4286	10.5288	25.8993	8.5063	7.5	7.0459	6.4316	6.8994	5.6	9.4703	20.0	13.0612	4.5233	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6837	0.9507	1.0012	0.3774	0.619	0.6135	0.6308	0.653	0.6694	0.702	0.6271	0.6369	1.0656	320.0
lth	1.4848	1.4848	1.2774	1.6514	1.6024	18.5915	7.5254	13.4954	16.5056	8.0	10.0	10.0	20.0	7.4124	7.268	6.6667	6.3158	6.4348	5.4545	9.5652	19.3548	12.2314	4.2561	5.7143	9.7561	0.9836	4.5726	4.5517	5.2906	5.6996	1.718	4.4048	4.5538	5.0685	4.3917	1.5032	0.953	1.0138	0.3785	0.6387	0.6127	0.6419	0.6601	0.6812	0.711	0.6359	0.6427	0.9313	220.0
aru	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.1856	7.2368	7.0745	6.8994	5.6	9.8361	20.0	13.0612	4.5238	5.8741	8.9163	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6709	0.9909	1.0513	0.3935	0.6498	0.6337	0.6572	0.6781	0.6974	0.7294	0.653	0.661	1.0656	320.0
bin	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.5714	10.9016	11.0833	25.8993	8.5063	7.5	6.9978	6.6819	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0697	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6875	0.9507	1.0012	0.3774	0.619	0.6135	0.6308	0.653	0.6694	0.702	0.6271	0.6369	1.0636	320.0
dbx	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.1856	7.2368	7.0745	6.8994	5.6	9.8361	20.0	13.0612	4.5238	5.8741	8.9163	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6761	1.0307	1.0978	0.4094	0.676	0.6556	0.6823	0.7011	0.724	0.7544	0.6766	0.685	1.0662	320.0
dha	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.5714	10.9016	11.0833	25.8993	8.5063	7.5	7.0459	6.6819	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6737	0.9501	1.0003	0.3771	0.6184	0.6134	0.6304	0.6526	0.669	0.7014	0.6267	0.6366	1.0656	320.0
zro	1.4848	1.4848	1.2774	1.6514	1.6024	18.5915	7.5254	13.4954	16.5056	8.4724	10.4615	10.6806	24.1026	7.4124	7.268	6.9278	6.5035	6.4348	5.4545	9.5652	19.3548	12.2314	4.2561	5.7143	9.7561	0.9836	4.5726	4.5517	5.2906	5.6996	1.718	4.4048	4.5538	5.0685	4.3917	1.498	0.9188	0.9664	0.3647	0.5995	0.5912	0.6109	0.6334	0.6482	0.6811	0.6076	0.616	0.9301	220.0
pta	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.5	7.3065	7.0745	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0727	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6677	1.0307	1.0978	0.4094	0.676	0.6556	0.6823	0.7011	0.724	0.7544	0.6766	0.685	1.0662	320.0
rgm	1.5245	1.5245	1.3747	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.0	10.0	10.0	20.0	8.5063	7.5	6.6667	6.3158	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.7094	1.049	1.1174	0.4166	0.6852	0.6656	0.6927	0.7122	0.735	0.7644	0.6868	0.6953	1.0683	320.0
